name,star,comment,class,address,latitude,longitude,school_counts,drink_counts,train_counts,bus_counts,park_counts,night_market_counts,sports_facilities_counts,mrt_counts,movie_theater_counts,hospital_counts,district,neighborhood,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,行政區_x,平勳人流,行政區_y,刊登平均,成交平均
胖茶 茶飲專賣店 /三峽飲料推薦/三峽特色飲料/三峽必喝/鮮萃黑茶/黑奶茶/仙草凍拿鐵,4.4,43,冰品飲料店,新北市三峽區光明路94號,24.928534,121.3756757,4,45,0,79,9,0,0,0,0,2,三峽區,介壽里,新北市,板橋區,介壽里,880.0,646016.0,734.0,460.0,222.0,989.0,814.97,111.01,三峽區,2038.200813195466,三峽區,1071.0,1059.0
胖茶 茶飲專賣店 /三峽飲料推薦/三峽特色飲料/三峽必喝/鮮萃黑茶/黑奶茶/仙草凍拿鐵,4.4,43,冰品飲料店,新北市三峽區光明路94號,24.928534,121.3756757,4,45,0,79,9,0,0,0,0,2,三峽區,介壽里,新北市,三峽區,介壽里,1717.0,866095.0,504.0,361.0,188.0,633.0,741.9,147.08,三峽區,2038.200813195466,三峽區,1071.0,1059.0
鮮茶道(三峽文化店),3.6,141,冰品飲料店,新北市三峽區文化路41號,24.9360559,121.3724651,7,72,0,99,13,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
拾?茶屋 三峽中華店,4.9,239,冰品飲料店,新北市三峽區中華路37號,24.9311286,121.3728445,7,59,0,98,13,0,2,0,0,2,三峽區,安溪里,新北市,三峽區,安溪里,2096.0,1219994.0,582.0,403.0,200.0,728.0,979.69,168.31,三峽區,2038.200813195466,三峽區,1071.0,1059.0
清水冬瓜王 三峽店,4.4,567,冰品飲料店,新北市三峽區長福街15號,24.9338713,121.3705682,7,64,0,101,13,0,4,0,0,2,三峽區,秀川里,新北市,三峽區,秀川里,160.0,101248.0,633.0,408.0,202.0,821.0,722.66,114.2,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,台北市,松山區,中正里,3425.0,5369060.0,1568.0,842.0,344.0,1900.0,2415.98,154.12,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,三重區,中正里,383.0,237977.0,621.0,423.0,211.0,760.0,777.58,125.14,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,新店區,中正里,1987.0,1760949.0,886.0,542.0,256.0,1066.0,1167.38,131.72,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,板橋區,中正里,2114.0,1795601.0,849.0,586.0,288.0,1130.0,907.94,106.89,三峽區,2038.200813195466,三峽區,1071.0,1059.0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,4,42,0,71,9,0,0,0,0,2,三峽區,中正里,新北市,三峽區,中正里,1309.0,686956.0,525.0,363.0,196.0,682.0,545.46,103.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
